time,ax,ay,az
2019-11-14 20:34:42.8760,-0.01,-0.01,-0.01
2019-11-14 20:34:42.9660,0.02,0.0,-0.0
2019-11-14 20:34:43.0630,-0.01,0.01,-0.03
2019-11-14 20:34:43.1630,0.0,-0.01,0.02
2019-11-14 20:34:43.2410,0.01,-0.01,0.01
2019-11-14 20:34:43.3280,0.0,0.0,0.0
2019-11-14 20:34:43.4220,-0.01,0.0,-0.01
2019-11-14 20:34:43.5100,-0.01,0.02,-0.0
2019-11-14 20:34:43.6030,0.01,0.02,0.02
2019-11-14 20:34:43.6890,-0.01,-0.03,0.01
2019-11-14 20:34:43.7800,-0.02,-0.01,-0.01
2019-11-14 20:34:43.8770,-0.0,0.0,0.02
2019-11-14 20:34:43.9740,-0.0,0.01,-0.01
2019-11-14 20:34:44.0690,-0.01,0.01,-0.01
2019-11-14 20:34:44.1440,-0.01,0.03,0.07
2019-11-14 20:34:44.2310,-0.04,0.06,0.04
2019-11-14 20:34:44.3250,-0.05,0.04,0.06
2019-11-14 20:34:44.4120,-0.06,0.11,0.09
2019-11-14 20:34:44.5060,-0.07,0.09,0.06
2019-11-14 20:34:44.5920,0.06,0.13,0.1
2019-11-14 20:34:44.6820,0.02,0.1,-0.01
2019-11-14 20:34:44.7720,-0.02,0.04,-0.01
2019-11-14 20:34:44.8730,0.03,-0.0,-0.02
2019-11-14 20:34:44.9700,-0.0,-0.02,-0.05
2019-11-14 20:34:45.0440,0.05,-0.05,0.04
2019-11-14 20:34:45.1340,0.13,-0.03,-0.05
2019-11-14 20:34:45.2280,0.21,-0.09,0.03
2019-11-14 20:34:45.3140,0.1,-0.11,-0.17
2019-11-14 20:34:45.4090,0.15,-0.19,-0.04
2019-11-14 20:34:45.4940,0.07,-0.14,0.0
2019-11-14 20:34:45.5850,0.1,-0.16,0.02
2019-11-14 20:34:45.6810,0.06,-0.07,-0.02
2019-11-14 20:34:45.7750,0.09,0.04,0.29
2019-11-14 20:34:45.8700,0.03,0.14,0.3
2019-11-14 20:34:45.9470,-0.06,0.08,0.19
2019-11-14 20:34:46.0370,-0.0,0.05,0.12
2019-11-14 20:34:46.1310,0.05,0.07,-0.08
2019-11-14 20:34:46.2170,0.17,0.06,-0.21
2019-11-14 20:34:46.3090,0.23,0.04,-0.16
2019-11-14 20:34:46.3980,0.2,0.21,-0.08
2019-11-14 20:34:46.4870,0.1,0.12,-0.17
2019-11-14 20:34:46.5780,0.02,0.11,-0.01
2019-11-14 20:34:46.6770,0.1,0.02,-0.24
2019-11-14 20:34:46.7710,-0.07,0.03,0.02
2019-11-14 20:34:46.8500,-0.3,-0.04,-0.81
2019-11-14 20:34:46.9400,0.02,-0.16,0.22
2019-11-14 20:34:47.0350,0.12,0.11,0.14
2019-11-14 20:34:47.1210,-0.0,-0.0,0.18
2019-11-14 20:34:47.2140,0.13,0.01,-0.18
2019-11-14 20:34:47.3000,-0.12,0.08,0.08
2019-11-14 20:34:47.3900,-0.05,-0.01,0.01
2019-11-14 20:34:47.4800,0.06,0.03,0.04
2019-11-14 20:34:47.5800,0.04,0.02,0.03
2019-11-14 20:34:47.6760,-0.07,-0.02,-0.06
2019-11-14 20:34:47.7550,-0.02,0.08,0.06
2019-11-14 20:34:47.8410,0.02,-0.02,0.08
2019-11-14 20:34:47.9360,-0.04,-0.03,-0.04
2019-11-14 20:34:48.0220,-0.02,-0.01,-0.02
2019-11-14 20:34:48.1170,0.05,0.0,-0.03
2019-11-14 20:34:48.2030,0.03,-0.01,-0.01
2019-11-14 20:34:48.2930,-0.0,-0.01,-0.02
2019-11-14 20:34:48.3860,-0.0,0.01,0.03
2019-11-14 20:34:48.4860,0.03,-0.0,0.02
2019-11-14 20:34:48.5830,-0.0,-0.01,0.02
2019-11-14 20:34:48.6560,-0.01,-0.01,0.02
2019-11-14 20:34:48.7450,-0.0,0.01,0.03
2019-11-14 20:34:48.8390,-0.01,-0.0,-0.04
2019-11-14 20:34:48.9260,0.01,0.01,-0.01
2019-11-14 20:34:49.0190,0.01,0.0,0.0
2019-11-14 20:34:49.1050,-0.0,-0.0,0.0
2019-11-14 20:34:49.1960,0.0,-0.0,0.02
2019-11-14 20:34:49.2860,0.01,-0.0,-0.02
2019-11-14 20:34:49.3860,-0.01,-0.0,0.02
2019-11-14 20:34:49.4810,-0.0,-0.0,0.01
2019-11-14 20:34:49.5600,0.01,0.0,-0.01
2019-11-14 20:34:49.6470,-0.0,-0.0,-0.0
2019-11-14 20:34:49.7430,0.0,0.0,-0.0
2019-11-14 20:34:49.8290,-0.01,0.0,-0.03
2019-11-14 20:34:49.9220,0.01,0.0,-0.0
2019-11-14 20:34:50.0080,-0.0,0.0,0.0
2019-11-14 20:34:50.0980,-0.01,-0.0,-0.0
2019-11-14 20:34:50.1880,0.02,0.01,0.0
