time,ax,ay,az
2019-11-14 19:44:28.5520,-0.01,-0.02,0.01
2019-11-14 19:44:28.6000,-0.01,-0.01,0.02
2019-11-14 19:44:28.6900,-0.02,0.0,-0.02
2019-11-14 19:44:28.7890,-0.0,-0.01,0.0
2019-11-14 19:44:28.8990,0.0,-0.01,0.0
2019-11-14 19:44:28.9620,0.0,-0.0,-0.0
2019-11-14 19:44:29.0520,-0.0,-0.01,0.02
2019-11-14 19:44:29.1420,-0.0,0.0,0.01
2019-11-14 19:44:29.2320,-0.0,-0.01,0.01
2019-11-14 19:44:29.3220,-0.01,-0.01,-0.0
2019-11-14 19:44:29.4130,0.01,-0.01,-0.0
2019-11-14 19:44:29.5050,0.0,-0.0,0.03
2019-11-14 19:44:29.6020,-0.0,-0.01,0.01
2019-11-14 19:44:29.6990,0.0,-0.01,0.0
2019-11-14 19:44:29.8040,-0.01,0.01,0.01
2019-11-14 19:44:29.8640,0.01,0.01,0.02
2019-11-14 19:44:29.9550,-0.0,0.01,0.01
2019-11-14 19:44:30.0450,-0.01,0.03,0.02
2019-11-14 19:44:30.1360,0.0,0.05,0.04
2019-11-14 19:44:30.2250,-0.01,0.07,0.1
2019-11-14 19:44:30.3150,0.03,0.11,0.12
2019-11-14 19:44:30.4060,0.02,0.12,0.18
2019-11-14 19:44:30.5070,0.02,0.18,0.15
2019-11-14 19:44:30.5990,0.01,0.14,0.06
2019-11-14 19:44:30.7000,-0.01,0.09,-0.09
2019-11-14 19:44:30.7670,-0.02,0.04,-0.2
2019-11-14 19:44:30.8570,-0.06,-0.01,-0.24
2019-11-14 19:44:30.9470,-0.04,-0.01,-0.45
2019-11-14 19:44:31.0370,0.0,0.1,-0.34
2019-11-14 19:44:31.1270,-0.01,0.09,-0.1
2019-11-14 19:44:31.2180,-0.05,-0.12,0.14
2019-11-14 19:44:31.3080,-0.02,-0.21,-0.02
2019-11-14 19:44:31.4090,0.07,-0.1,0.12
2019-11-14 19:44:31.5050,0.02,-0.11,0.09
2019-11-14 19:44:31.6060,0.01,0.05,0.23
2019-11-14 19:44:31.6700,-0.03,0.03,0.18
2019-11-14 19:44:31.7600,-0.02,-0.05,0.02
2019-11-14 19:44:31.8500,0.02,-0.03,-0.03
2019-11-14 19:44:31.9400,-0.0,0.02,0.04
2019-11-14 19:44:32.0300,-0.05,0.02,0.04
2019-11-14 19:44:32.1200,-0.04,-0.03,-0.07
2019-11-14 19:44:32.2120,0.01,-0.01,-0.07
2019-11-14 19:44:32.3110,0.02,0.0,0.0
2019-11-14 19:44:32.4070,0.04,0.01,0.04
2019-11-14 19:44:32.5070,0.02,0.0,0.01
2019-11-14 19:44:32.5720,0.01,-0.0,0.0
2019-11-14 19:44:32.6630,-0.02,0.01,0.01
2019-11-14 19:44:32.7530,-0.01,0.01,-0.01
